,origintime,latitude,longitude,depth
110,2003-01-04 14:21:20.483060,-75.434824,160.846078,-4965.332
111,2003-01-04 20:27:18.150919,-75.253251,160.874978,48388.672
112,2003-01-05 21:31:45.705487,-75.374376,160.769162,-4965.332
113,2003-01-06 02:39:48.770383,-75.403236,160.456111,-4930.664
114,2003-01-07 03:40:48.935753,-75.366552,160.802219,-4965.332
115,2003-01-07 22:39:38.921655,-75.34266,160.740004,-4930.664
116,2003-01-08 16:55:56.839328,-75.253959,160.765206,58650.390999999996
117,2003-01-08 22:43:29.062160,-75.518704,161.166886,-4653.32
118,2003-01-09 05:59:21.325657,-75.375285,160.850764,3181.641
119,2003-01-10 04:34:11.400540,-75.394554,160.81578,-4861.328
120,2003-01-11 08:02:32.337880,-75.327215,161.606415,91931.641
121,2003-01-11 19:53:40.801178,-74.891679,160.838534,64474.609000000004
122,2003-01-12 01:39:33.296340,-75.177166,160.348088,-3682.617
123,2003-01-12 06:59:08.105000,-75.261741,161.14758,10600.586
124,2003-01-12 09:14:51.297386,-75.100382,161.079868,3944.336
125,2003-01-13 02:52:43.435115,-75.284407,160.196466,-4930.664
126,2003-01-13 22:08:21.619468,-75.243624,160.742872,62186.523
127,2003-01-14 03:05:46.528176,-75.366822,160.834526,-4930.664
128,2003-01-14 21:24:46.776330,-75.408382,160.373279,-4861.328
129,2003-01-15 02:43:38.441286,-75.345458,160.749479,-4861.328
130,2003-01-15 11:45:27.547892,-75.252791,161.07326,69813.477
131,2003-01-16 04:21:39.218675,-75.390321,160.807658,-4965.332
132,2003-01-17 01:29:54.362734,-75.430144,160.4026,-4930.664
133,2003-01-18 12:54:26.014431,-75.347704,160.519435,-4930.664
134,2003-01-30 01:03:58.302385,-75.412899,160.426014,-4237.305
135,2003-01-30 14:19:00.987687,-75.163605,160.586748,-3197.266
136,2003-01-31 12:21:34.982280,-75.496152,160.329908,-3197.266
137,2003-02-01 09:02:48.062132,-75.357026,160.726007,-4861.328
