Event Index Number,Reproduced depth (km),Depth with STAR (km),,Abs. Diff. in Depth,Is Abs. Diff <= 20 km?,,Ho etal IDE Event,Wei IDE Event,Ho etal Shallow Event,Wei Shallow Event,
536,119.804688,-4.648438,,124.453126,,,YES,,,YES,Original IDE swithed to shallow event
537,120.507812,84.648438,,35.859374,,,YES,YES,,,
538,-4.824219,-4.648438,,0.175781,YES,,,,YES,YES,
539,125.429688,125.429688,,0,YES,,YES,YES,,,
540,119.804688,89.570312,,30.234376,,,YES,YES,,,
541,-4.824219,-4.912109,,0.08789,YES,,,,YES,YES,
543,119.804688,91.855469,,27.949219,,,YES,YES,,,
544,-4.648438,6.777344,,11.425782,YES,,,,YES,YES,
545,146.171875,146.171875,,0,YES,,YES,YES,,,
547,-4.648438,-4.824219,,0.175781,YES,,,,YES,YES,
548,121.210938,108.378906,,12.832032,YES,,YES,YES,,,
549,113.828125,-4.824219,,118.652344,,,YES,,,YES,Original IDE swithed to shallow event
551,126.484375,86.054688,,40.429687,,,YES,YES,,,
552,120.507812,-4.824219,,125.332031,,,YES,,,YES,Original IDE swithed to shallow event
554,138.085938,-4.648438,,142.734376,,,YES,,,YES,Original IDE swithed to shallow event
555,-4.824219,-4.912109,,0.08789,YES,,,,YES,YES,
556,119.101562,-4.824219,,123.925781,,,YES,,,YES,Original IDE swithed to shallow event
558,-4.296875,-4.648438,,0.351563,YES,,,,YES,YES,
559,-4.648438,-4.824219,,0.175781,YES,,,,YES,YES,
560,116.289062,82.539062,,33.75,,,YES,YES,,,
561,121.914062,-4.824219,,126.738281,,,YES,,,YES,Original IDE swithed to shallow event
562,132.460938,95.898438,,36.5625,,,YES,YES,,,
563,-4.648438,-4.824219,,0.175781,YES,,,,YES,YES,
564,-4.648438,-4.648438,,0,YES,,,,YES,YES,
565,-4.296875,-4.648438,,0.351563,YES,,,,YES,YES,
566,126.835938,95.195312,,31.640626,,,YES,YES,,,
569,131.757812,-4.824219,,136.582031,,,YES,,,YES,Original IDE swithed to shallow event
570,-4.824219,-4.824219,,0,YES,,,,YES,YES,
571,111.367188,-4.824219,,116.191407,,,YES,,,YES,Original IDE swithed to shallow event
572,116.289062,-4.824219,,121.113281,,,YES,,,YES,Original IDE swithed to shallow event
573,25.234375,25.234375,,0,YES,,,,,,
574,28.046875,73.398438,,45.351563,,,,YES,,,
575,96.953125,83.769531,,13.183594,YES,,YES,YES,,,
576,135.273438,135.273438,,0,YES,,YES,YES,,,
578,116.992188,-4.824219,,121.816407,,,YES,,,YES,Original IDE swithed to shallow event
579,133.867188,133.867188,,0,YES,,YES,YES,,,
580,119.101562,99.414062,,19.6875,YES,,YES,YES,,,
585,-4.824219,-4.912109,,0.08789,YES,,,,YES,YES,
587,114.882812,-4.648438,,119.53125,,,YES,,,YES,Original IDE swithed to shallow event
588,-4.648438,110.664062,,115.3125,,,,YES,YES,,Original shallow event switched to IDE event
589,130.703125,-4.648438,,135.351563,,,YES,,,YES,Original IDE swithed to shallow event
590,134.921875,-4.824219,,139.746094,,,YES,,,YES,Original IDE swithed to shallow event
592,-4.648438,-4.824219,,0.175781,YES,,,,YES,YES,
593,-4.824219,-1.308594,,3.515625,YES,,,,YES,YES,
594,111.367188,-4.824219,,116.191407,,,YES,,,YES,Original IDE swithed to shallow event
598,122.792969,122.792969,,0,YES,,YES,YES,,,
600,113.476562,-4.824219,,118.300781,,,YES,,,YES,Original IDE swithed to shallow event
601,-4.296875,81.132812,,85.429687,,,,YES,YES,,Original shallow event switched to IDE event
602,118.398438,-4.648438,,123.046876,,,YES,,,YES,Original IDE swithed to shallow event
603,101.171875,-4.824219,,105.996094,,,YES,,,YES,Original IDE swithed to shallow event
604,124.902344,124.902344,,0,YES,,YES,YES,,,
605,95.898438,-4.824219,,100.722657,,,YES,,,YES,Original IDE swithed to shallow event
606,121.914062,95.546875,,26.367187,,,YES,YES,,,
607,92.734375,71.816406,,20.917969,,,YES,YES,,,
608,135.976562,135.976562,,0,YES,,YES,YES,,,
609,137.382812,-4.648438,,142.03125,,,YES,,,YES,Original IDE swithed to shallow event
610,124.726562,-4.824219,,129.550781,,,YES,,,YES,Original IDE swithed to shallow event
611,135.273438,135.273438,,0,YES,,YES,YES,,,
613,-4.824219,-4.824219,,0,YES,,,,YES,YES,
614,127.890625,127.890625,,0,YES,,YES,YES,,,
615,122.441406,-4.824219,,127.265625,,,YES,,,YES,Original IDE swithed to shallow event
616,123.144531,-4.824219,,127.96875,,,YES,,,YES,Original IDE swithed to shallow event
618,119.804688,-4.824219,,124.628907,,,YES,,,YES,Original IDE swithed to shallow event
619,126.132812,126.132812,,0,YES,,YES,YES,,,
620,-4.824219,-4.824219,,0,YES,,,,YES,YES,
622,113.476562,-4.912109,,118.388671,,,YES,,,YES,Original IDE swithed to shallow event
623,116.992188,83.769531,,33.222657,,,YES,YES,,,
624,103.984375,-4.648438,,108.632813,,,YES,,,YES,Original IDE swithed to shallow event
626,136.679688,136.503906,,0.175782,YES,,YES,YES,,,
627,137.382812,137.382812,,0,YES,,YES,YES,,,
629,104.335938,-4.824219,,109.160157,,,YES,,,YES,Original IDE swithed to shallow event
630,-4.648438,-4.824219,,0.175781,YES,,,,YES,YES,
634,120.332031,120.332031,,0,YES,,YES,YES,,,
635,123.144531,-4.824219,,127.96875,,,YES,,,YES,Original IDE swithed to shallow event
638,131.054688,131.054688,,0,YES,,YES,YES,,,
639,117.695312,82.539062,,35.15625,,,YES,YES,,,
642,-4.824219,-0.429688,,4.394531,YES,,,,YES,YES,
645,120.507812,-4.824219,,125.332031,,,YES,,,YES,Original IDE swithed to shallow event
646,128.769531,128.769531,,0,YES,,YES,YES,,,
647,-4.648438,-4.824219,,0.175781,YES,,,,YES,YES,
648,119.453125,88.867188,,30.585937,,,YES,YES,,,
649,116.640625,-4.824219,,121.464844,,,YES,,,YES,Original IDE swithed to shallow event
650,107.851562,-4.824219,,112.675781,,,YES,,,YES,Original IDE swithed to shallow event
651,95.371094,-4.912109,,100.283203,,,YES,,,YES,Original IDE swithed to shallow event
655,-3.945312,-2.714844,,1.230468,YES,,,,YES,YES,
656,-4.648438,-4.824219,,0.175781,YES,,,,YES,YES,
